DEPP;CODCOMP;COMP;Commune pôle;DEP;CODCOM;COM;Commune;PMUN;PCAP;PTOT
14;371;14371;Livarot-Pays-d'Auge;14;638;14638;Saint-Ouen-le-Houx;90;2;92
14;194;14194;Courtonne-les-Deux-Églises;14;642;14642;Saint-Paul-de-Courtonne;291;10;301
14;570;14570;Valorbiquet;14;647;14647;Saint-Pierre-de-Mailloc;488;11;499
14;174;14174;Condé-en-Normandie;14;653;14653;Saint-Pierre-la-Vieille;320;3;323
14;654;14654;Saint-Pierre-en-Auge;14;654;14654;Saint-Pierre-sur-Dives;3283;32;3315
14;061;14061;Souleuvre en Bocage;14;655;14655;Saint-Pierre-Tarentaine;355;4;359
14;658;14658;Noues de Sienne;14;658;14658;Saint-Sever-Calvados;1226;18;1244
14;357;14357;Terres de Druance;14;662;14662;Saint-Vigor-des-Mézerets;237;3;240
14;543;14543;Rots;14;670;14670;Secqueville-en-Bessin;450;6;456
14;658;14658;Noues de Sienne;14;671;14671;Sept-Frères;353;9;362
14;672;14672;Val de Drôme;14;672;14672;Sept-Vents;435;8;443
14;011;14011;Aurseulles;14;673;14673;Sermentot;300;4;304
14;726;14726;Valdallière;14;686;14686;Le Theil-Bocage;194;2;196
14;654;14654;Saint-Pierre-en-Auge;14;688;14688;Thiéville;262;3;265
14;689;14689;Thury-Harcourt-le-Hom;14;689;14689;Thury-Harcourt;1996;25;2021
14;538;14538;Castine-en-Plaine;14;691;14691;Tilly-la-Campagne;268;5;273
14;570;14570;Valorbiquet;14;693;14693;Tordouet;267;4;271
14;011;14011;Aurseulles;14;695;14695;Torteval-Quesnay;338;3;341
14;371;14371;Livarot-Pays-d'Auge;14;696;14696;Tortisambert;126;1;127
14;475;14475;Val d'Arry;14;702;14702;Tournay-sur-Odon;353;9;362
14;150;14150;Cesny-les-Sources;14;703;14703;Tournebu;371;6;377
14;061;14061;Souleuvre en Bocage;14;704;14704;Le Tourneur;632;10;642
14;762;14762;Vire Normandie;14;717;14717;Truttemer-le-Grand;720;32;752
14;762;14762;Vire Normandie;14;718;14718;Truttemer-le-Petit;102;4;106
14;143;14143;Caumont-sur-Aure;14;722;14722;La Vacquerie;313;3;316
14;333;14333;Honfleur;14;725;14725;Vasouy;106;2;108
14;726;14726;Valdallière;14;726;14726;Vassy;1686;37;1723
14;035;14035;Balleroy-sur-Drôme;14;727;14727;Vaubadon;417;4;421
14;654;14654;Saint-Pierre-en-Auge;14;729;14729;Vaudeloges;188;3;191
14;762;14762;Vire Normandie;14;730;14730;Vaudry;1479;65;1544
14;726;14726;Valdallière;14;746;14746;Viessoix;766;22;788
14;431;14431;Mézidon Vallée d'Auge;14;749;14749;Vieux-Fumé;513;4;517
14;654;14654;Saint-Pierre-en-Auge;14;750;14750;Vieux-Pont-en-Auge;267;7;274
14;762;14762;Vire Normandie;14;762;14762;Vire;10906;479;11385
14;342;14342;Isigny-sur-Mer;14;763;14763;Vouilly;145;4;149
15;027;15027;Puycapel;15;027;15027;Calvinet;432;7;439
15;141;15141;Neussargues en Pinatelle;15;031;15031;Celles;217;8;225
15;141;15141;Neussargues en Pinatelle;15;035;15035;Chalinargues;311;4;315
15;138;15138;Murat;15;044;15044;Chastel-sur-Murat;115;5;120
15;141;15141;Neussargues en Pinatelle;15;047;15047;Chavagnac;91;3;94
15;003;15003;Ally;15;062;15062;Drignac;96;0;96
15;181;15181;Saint-Constant-Fournoulès;15;071;15071;Fournoulès;61;1;62
15;142;15142;Neuvéglise-sur-Truyère;15;099;15099;Lavastrie;257;5;262
15;153;15153;Pleaux;15;109;15109;Loupiac;205;3;208
15;038;15038;Champs-sur-Tarentaine-Marchal;15;115;15115;Marchal;78;0;78
15;027;15027;Puycapel;15;136;15136;Mourjou;292;6;298
15;138;15138;Murat;15;138;15138;Murat;1655;84;1739
15;141;15141;Neussargues en Pinatelle;15;141;15141;Neussargues-Moissac;834;15;849
15;142;15142;Neuvéglise-sur-Truyère;15;142;15142;Neuvéglise;1061;23;1084
15;142;15142;Neuvéglise-sur-Truyère;15;145;15145;Oradour;224;7;231
15;268;15268;Le Rouget-Pers;15;150;15150;Pers;271;4;275
15;141;15141;Neussargues en Pinatelle;15;171;15171;Sainte-Anastasie;124;2;126
15;153;15153;Pleaux;15;177;15177;Saint-Christophe-les-Gorges;129;2;131
15;181;15181;Saint-Constant-Fournoulès;15;181;15181;Saint-Constant;507;11;518
15;202;15202;Saint-Martin-Valmeroux;15;210;15210;Saint-Rémy-de-Salers;55;3;58
15;142;15142;Neuvéglise-sur-Truyère;15;227;15227;Sériers;147;5;152
15;153;15153;Pleaux;15;239;15239;Tourniac;154;4;158
